	City	raw_text	Cleaned_Text	clusterid
0	CA Fresno	"U.S. Department of Transportation 
Notice of Funding Opportunity Number DTFH6116RA00002 
“Beyond Traffic: The Smart City Challenge ” 
City of Fresno Application 
"	u department transportation notice funding opportunity number dtfh ra beyond traffic challenge fresno application	15
1	CA Fresno	"City of Fresno 
   SECTION     PAGE 
PART ONE | Vision Narrative.................................................................................. 1
Annotated Preliminary Site Map....................................................... .10
APPENDIX | Letters of Support .............................................................................3 1
Mayor , City of Fresno 
Google X  
Fresno Council of Governments  
County of Fresno 
Pacific Gas and Electric Company  
San Joaquin Valley Air Pollution Control District  
California Department of Transportation, District 6  
BitWise Industries  
Fresno State Lyles College of Engineering 
Fresno State Community and Regional Planning Center 
Fresno State Parking and Transportation Department 
Fresno State Office of Community and Economic Development 
Clovis Unified School District 
Fresno County Rural Transit Authority 
PART TWO | Organizational Information............................................................... .46
Forms…………………………………………………... ......................... 49
   FIGURES     PAGE 
FIGURE 1 | Fresno Area Express (FAX) System Map……………………………....4
FIGURE 2 | Bus Rapid Transit (BRT) System Map……………………………….....6
FIGURE 3 | Traffic Signal Synchronization Projects………………………………...24  
 
TABLE OF CONTENTS  
"	fresno section part one vision narrative annotated preliminary site map appendix letter support mayor fresno google x fresno council government county fresno pacific gas electric company san joaquin valley air pollution control district california department transportation district bitwise industry fresno lyles college engineering fresno community regional planning center fresno parking transportation department fresno office community economic development clovis unified school district fresno county rural transit authority part two organizational information form figure figure fresno area express fax system map figure bus rapid transit brt system map figure traffic signal synchronization project table content	15
2	CA Fresno	"City of Fresno 
1
Fresno is located at the heart of 
California, and faces many social, 
economic and transportation challenges. Part 1 – VISION NARRATIVE  
1. Define your vision for your Smart City. Describe your city‟s challenges and
how the proposed elements of this proposed project can be used to address
those challenges. The vision should define your approach for implementing
and operating the demonstration project, including your program
management approach.
The City of Fresno envisions a Smart City comprised of an interconnected 
transportation network which is efficient, user-focused and embraces leading 
technology to address regional health, social and economic challenges. 
Challenges    
The City of Fresno comprises over 111 square miles in the San Joaquin Valley, and is 
California’s fifth most populated city at the geographic center of the state. Fresno serves 
as the economic hub of California’s Central Valley, with surrounding cities 
predominantly tied to large-scale agricultural 
production.  The San Joaquin Valley region is the 
17th largest agricultural area in the world, feeding 
one-third of the world’s population with $26 billion in 
agricultural production annually. However, amidst this 
agricultural abundance, real economic and health 
challenges exist. Poverty, unemployment, asthma 
and rates of obesity outpace state averages.  
Economic challenges faced by residents are 
troubling. According to the Economic Development 
Department, t he County-wide unemployment rate for 
2014 was 11.6%, compared to the statewide rate of 
7.5%. This rank ed Fresno County as 51 out of 58 
counties in the state for highest unemployment. Due 
to widespread poverty, all students in Fresno Unified 
School District are eligible for free meal programs. 
Over 79,000 free meals are served daily.   
Health indicators are also cause for concern. Obesity rates for 
adults in Fresno County are staggering, with 77% of residents 
identified as overweight or obese by the California Department 
of Public Health (CDPH), compared to 62.5% statewide. Rates 
of asthma prevalence are also high for children age 5-17 in 
Fresno County (23.6%), compared to statewide averages 
(17.1%).  The American Lung Association (ALA) ranks Fresno 1 
out of 220 metropolitan areas for annual particle pollution and 
24-hour particle pollution ratings . Given the ALA findings, and a 
2011 designation of Fresno by the World Health Organization as the second most air-
polluted city in the United States, the prevalence of asthma in Fresno is not surprising . 
According to the 
World Health 
Organization, in 
2011  Fresno was 
the second most 
air-polluted city 
in the United 
States.   "	fresno fresno located heart california face many social economic transportation challenge part vision narrative define vision describe challenge proposed element proposed project used address challenge vision define approach implementing operating demonstration project including program management approach fresno envisions comprised interconnected transportation network efficient user focused embrace leading technology address regional health social economic challenge challenge fresno comprises square mile san joaquin valley california fifth populated geographic center fresno serf economic hub california central valley surrounding predominantly tied large scale agricultural production san joaquin valley region th largest agricultural area world feeding one third world population billion agricultural production annually however amidst agricultural abundance real economic health challenge exist poverty unemployment asthma rate obesity outpace average economic challenge faced resident troubling according economic development department county wide unemployment rate compared statewide rate rank ed fresno county county highest unemployment due widespread poverty student fresno unified school district eligible free meal program free meal served daily health indicator also cause concern obesity rate adult fresno county staggering resident identified overweight obese california department public health cdph compared statewide rate asthma prevalence also high child age fresno county compared statewide average american lung association ala rank fresno metropolitan area annual particle pollution hour particle pollution rating given ala finding designation fresno world health organization second air polluted united prevalence asthma fresno surprising according world health organization fresno second air polluted united	15
3	CA Fresno	"City of Fresno 
2W
ith disconcerting health and economic indicators, low educational attainment (just 
over 20% of residents hold a Bachelor’s degree or higher) and median household 
income resting at $42,015 per year, an economic catalyst is desperately needed to 
address health variables and create a healthier environment for the future.    
The economic center of Fresno has long migrated north; 
movement which has encroached on precious farmland 
while emptying the downtown area and creating urban 
sprawl .  Amidst these challenges, the City of Fresno is in 
a state of positive transformation. The need for 
reinvestment in the City’s downtown area has been the 
catalyst for a reexamination of development priorities 
over the last several years . Under the Swearengin 
Administration, the vision for large-scale investment in 
creating a more cohesive network for travel along inner -
city corridors, revitalizing key business districts and 
actively limiting urban sprawl has taken root to begin to 
address local challenges.  
A vision for transformative transportation is also underway, one that seeks to address 
social and economic challenges through investment in transportation infrastructure. The 
Smart City Challenge provides an unprecedented opportunity for Fresno to creatively 
address significant local health and economic challenges through transportation 
innovation and data sharing . The City of Fresno believes changing the built environment 
through smart transportation upgrades can have a positive impact on the overall 
wellness of residents. The challenges faced in Fresno are many, but can begin to be 
addressed through the development of a smart transportation system which 
synchronizes traffic signals throughout the city, encourages the use of electric vehicles  
and public transit alternatives, and engages residents in planning multi-modal trips and 
innovating with local data .  
Vision   
As a Smart City, Fresno would create a transportation system which:  
Operates with an interconnected transportation network utilizing advanced
Adaptive Intelligent Transportation Systems (ITS ) to improve efficiency and
safety and reduce vehicle emissions.
Reduces congestion, addresses climate change and improves  air quality through
traffic synchronization, investment in electric vehicle charging infrastructure,
public transit infrastructure and resources which support active transportation.
Is user -focused; reducing barriers to mobility through information sharing, mobile
transit applications and open data.
Bolsters  opportunities for collaboration, continuous improvement,
entrepreneurship and innovation through public access to transportation metrics.
These vision elements can improve air quality, support more active transportation and 
facilitate greater equity in transportation across socioeconomic statuses. Furthermore, 
“We have to face the 
challenges of inner city 
Fresno and fix them, instead 
of ignoring them and 
pretending they will go away. 
Face and fix. ” 
-- Mayor Ashley Swearengin,  
January 2015 State of the City 
Address "	fresno w ith disconcerting health economic indicator low educational attainment resident hold bachelor degree higher median household income resting per year economic catalyst desperately needed address health variable create healthier environment future economic center fresno long migrated north movement encroached precious farmland emptying downtown area creating urban sprawl amidst challenge fresno positive transformation need reinvestment downtown area catalyst reexamination development priority last several year swearengin administration vision large scale investment creating cohesive network travel along inner corridor revitalizing key business district actively limiting urban sprawl taken root begin address local challenge vision transformative transportation also underway one seek address social economic challenge investment transportation infrastructure challenge provides unprecedented opportunity fresno creatively address significant local health economic challenge transportation innovation data sharing fresno belief changing built environment transportation upgrade positive impact overall wellness resident challenge faced fresno many begin addressed development transportation system synchronizes traffic signal throughout encourages use electric vehicle public transit alternative engages resident planning multi modal trip innovating local data vision fresno would create transportation system operates interconnected transportation network utilizing advanced adaptive intelligent transportation system improve efficiency safety reduce vehicle emission reduces congestion address climate change improves air quality traffic synchronization investment electric vehicle charging infrastructure public transit infrastructure resource support active transportation user focused reducing barrier mobility information sharing mobile transit application open data bolster opportunity collaboration continuous improvement entrepreneurship innovation public access transportation metric vision element improve air quality support active transportation facilitate greater equity transportation across socioeconomic status furthermore face challenge inner fresno fix instead ignoring pretending go away face fix mayor ashley swearengin january address	15
4	CA Fresno	"City of Fresno 
3t
he potential economic impact of the Smart City challenge is exponential. A more 
effective transportation network and access to data can impact residents’ ability to 
commute to work with greater efficiency and safety, provide transportation information 
which can illuminate new insights into travel patterns, identify opportunities for 
innovation, and inform future policy and decision making. 
Program Management Approach   
This program would be managed through the development of a taskforce comprised of 
City of Fresno staff, business leaders , education al leaders and stakeholders to 
synergistically advance key vision elements and ensure effective process evaluation . 
Capital projects, parking and construction projects would be managed through the City 
of Fresno’s Public Works, Development and Parking departments . Information 
technology components of the vision elements presented will be managed by the 
Information Services Department (ISD). Public transit upgrades would be overseen by 
the City of Fresno’s Transportation D epartment. Reporting requirements would be 
managed through the City’ s Grants and Financial Administrators, ensuring timely and 
comprehensive reporting. Numerous letters of support from both public and private 
partners are also attached to this application and demonstrate a commitment to a multi-
disciplinary program management approach. 
2. Describe the population characteristics of your city and show how it aligns
with the USDOT‟s characteristics for a Smart City, including:
a.Mid-size city with population between approximately 200,000 and
850,000 people in the city limits;
b.Dense urban population; and
c.Represents a significant portion (preferably more than 15%) of the
population of your local urbanized area.
According to Census 2010 data, the City of Fresno has a demographically diverse 
population of 494,665 residents. Thirty percent of residents are Hispanic or Latino, and 
over 12% of residents identify as Asian. According to 2010 Census calculations, the City 
of Fresno possesses a dense urban population with 76% of residents residing in a local 
urbanized area. This is a significant portion of the population. The City of Fresno is also 
the 34th most populous city in the nation. These demographic characteristics , 
particularly the significant diversity and vast urbanized area, uniquely qualify the City of 
Fresno as an ideal mid-size Smart City. 
3. Describe other characteristics of your city and show how it aligns with the
USDOT‟s characteristics for a Smart City, including:
a.Existing public transportation system;
b.Environment that is conducive to demonstrating proposed strategies;
c.Continuity of committed leadership and capacity to carry out the
demonstration throughout the period of performance;
d.A commitment to integrating with the sharing economy; and"	fresno potential economic impact challenge exponential effective transportation network access data impact resident ability commute work greater efficiency safety provide transportation information illuminate new insight travel pattern identify opportunity innovation inform future policy decision making program management approach program would managed development taskforce comprised fresno staff business leader education al leader stakeholder synergistically advance key vision element ensure effective process evaluation capital project parking construction project would managed fresno public work development parking department information technology component vision element presented managed information service department isd public transit upgrade would overseen fresno transportation epartment reporting requirement would managed grant financial administrator ensuring timely comprehensive reporting numerous letter support public private partner also attached application demonstrate commitment multi disciplinary program management approach describe population characteristic show aligns usdot characteristic including mid size population approximately people limit b dense urban population c represents significant portion preferably population local urbanized area according census data fresno demographically diverse population resident thirty percent resident hispanic latino resident identify asian according census calculation fresno posse dense urban population resident residing local urbanized area significant portion population fresno also th populous nation demographic characteristic particularly significant diversity vast urbanized area uniquely qualify fresno ideal mid size describe characteristic show aligns usdot characteristic including existing public transportation system b environment conducive demonstrating proposed strategy c continuity committed leadership capacity carry demonstration throughout period performance commitment integrating sharing economy	15
5	CA Fresno	"City of Fresno 
4e.A
 clear commitment to making open, machine-readable data
accessible, discoverable and usable by the public to fuel
entrepreneurship and innovation.
Existing Public Transportation System  
The City of Fresno has an evolving public transportation system, which provides a great 
foundation for advancement to the Smart City Challenge. The public transit options are 
numerous. In terms of bus transit, Fresno Area Express (FAX) is comprised of 16 fixed 
routes spanning the city and connecting with neighboring transit systems to optimize the 
ease of commute for residents.  
FIGURE 1 |  The e xisting fixed route publi c transportation system is known as 
Fresno Area Express or FAX.  
"	fresno e clear commitment making open machine readable data accessible discoverable usable public fuel entrepreneurship innovation existing public transportation system fresno evolving public transportation system provides great foundation advancement challenge public transit option numerous term bus transit fresno area express fax comprised fixed route spanning connecting neighboring transit system optimize ease commute resident figure e xisting fixed route publi c transportation system known fresno area express fax	15
6	CA Fresno	"City of Fresno 
5
BRT is, in many 
respects, rubber-
tired light rail transit 
with greater 
operating flexibility 
and potentially lower 
costs.  
Fresno’s Downtown area in January 2014. 
Investment in public transit solutions will help to 
reduce emissions in an area plagued by poor air 
quality. Image: Craig Kohlruss, MCT/Getty Images 
for Tme.com. The FAX fixed routes typically follow many of the City’s arterial roadways, which are 
generally spaced with a one-half to one-mile separation. Most of the FAX routes operate 
at 30-minute frequencies, with four routes providing 20-minute frequencies during peak 
commute periods. There are two routes, ( 45 & 58) which operate on 60-minute 
frequencies. Within the next year, FAX will establish two 15-minute routes near Fresno 
State, along portions of Shaw (East and West) and Cedar (North and South) routes . 
The Shaw and Cedar routes will serve as companions for a planned Bus Rapid Transit 
System.  
A first phase Bus Rapid Transit (BRT) system is planned and 
funded along the Ventura Street/Kings Canyon Road and the 
Blackstone Avenue corridors, meeting in downtown (Figure 
2). Groundbreaking for the BRT is expected in 2016, with 
service planned in 2017. BRT is an integrated system of 
facilities, equipment, services and amenities that improve the 
speed, reliability and identi ty of bus transit. BRT is, in many 
respects, rubber-tired light rail transit with greater operating 
flexibility and potentially lower costs. 
A demand-response service, Handy Ride , provides transportation for eligible persons 
with disabilities who cannot functionally use the fixed route system.  FAX services over 
2,700 clients, with over 700 weekday passenger trips.  The Handy Ride  service area is 
the same as FAX’s fixed route syste m. The FAX bus system also provides connections 
to the Amtrak passenger rail station and the Greyhound bus station, both of which are 
located in Downtown. The bus route system is focused primarily on heavily urban areas, 
with fewer services offered to urban edge development. This focus allows the City to 
maximize ridership and reduce congestion in urban areas. FAX partners with the City of 
Clovis transit system, The City of Visalia V-Line, and the Fresno County Rural Area 
Transit Agency to provide connections outside of the City.  
Additionally, phase one of the California 
High Speed Rail (HSR) Project , the largest 
of its kind in the nation, is slated to run 
through the City of Fresno with estimated 
construction completion by 20 19 and final 
route completion by 2029. HSR will serve 
as a regional transportation system for 
Fresno and surrounding communities. The 
HSR tracks through Fresno’s metropolitan 
area w ill run generally parallel to the Union 
Pacific Railroad tracks. A HSR station will 
be located in Fresno, and it is anticipated 
that the HSR system would significantly 
increase the accessibility of Fresno to 
major population and economic hubs of 
California.  "	fresno brt many respect rubber tired light rail transit greater operating flexibility potentially lower cost fresno downtown area january investment public transit solution help reduce emission area plagued poor air quality image craig kohlruss mct getty image tme com fax fixed route typically follow many arterial roadway generally spaced one half one mile separation fax route operate minute frequency four route providing minute frequency peak commute period two route operate minute frequency within next year fax establish two minute route near fresno along portion shaw east west cedar north south route shaw cedar route serve companion planned bus rapid transit system first phase bus rapid transit brt system planned funded along ventura street king canyon road blackstone avenue corridor meeting downtown figure groundbreaking brt expected service planned brt integrated system facility equipment service amenity improve speed reliability identi ty bus transit brt many respect rubber tired light rail transit greater operating flexibility potentially lower cost demand response service handy ride provides transportation eligible person disability functionally use fixed route system fax service client weekday passenger trip handy ride service area fax fixed route syste fax bus system also provides connection amtrak passenger rail station greyhound bus station located downtown bus route system focused primarily heavily urban area fewer service offered urban edge development focus allows maximize ridership reduce congestion urban area fax partner clovis transit system visalia v line fresno county rural area transit agency provide connection outside additionally phase one california high speed rail hsr project largest kind nation slated run fresno estimated construction completion final route completion hsr serve regional transportation system fresno surrounding community hsr track fresno metropolitan area w ill run generally parallel union pacific railroad track hsr station located fresno anticipated hsr system would significantly increase accessibility fresno major population economic hub california	15
7	CA Fresno	"City of Fresno 
6T
he Fresno Council of Governments also operates a line of the Yosemite Area Rapid 
Transit System (YARTS) along HWY 41 in conjunction with the Merced County 
Association of Governments. YARTS provides travel connections between neighboring 
outlying communities, the City of Fresno and municipal transit lines, greyhound bus 
systems, the Amtrak train and the Fresno Yosemite International Airport.    
Figure 2 | The map below  depicts the planned Bus Rapid Transit Routes and Stations along 
Blackstone and Ventura/Kings Canyon Corridors. The Smart City Challenge would allow the City 
to enhance this plan with WiFi and greater user -focused mobility services.  
"	fresno fresno council government also operates line yosemite area rapid transit system yarts along hwy conjunction merced county association government yarts provides travel connection neighboring outlying community fresno municipal transit line greyhound bus system amtrak train fresno yosemite international airport figure map depicts planned bus rapid transit route station along blackstone ventura king canyon corridor challenge would allow enhance plan wifi greater user focused mobility service	15
8	CA Fresno	"City of Fresno 
7 Environment that is conducive to demonstrating proposed strategies 
The City of Fresno has an environment that is conducive to 
demonstrating proposed strategies , 
and a track record of embracing 
technology to advance city priorities. In 
2013, the City of Fresno was one of 31 
cities selected worldwide to receive the 
IBM Smarter Cities Challenge grant. 
The city of Fresno was recognized as a Smart er City due to 
unique assets which also make it a prime candidate for this 
challenge. These assets include diversity, affordability, 
proximity to larger cities, and well-developed relationships that create synergies across 
industries. As a past Smarter City, Fresno demonstrated the ability to engage with key 
stakeholders to collectively envision an instrumented, interconnected and intelligent City 
that utilizes data to inform decision making and enhance the economic health and 
overall wellbeing of residents. Key recommendations emerged from Smarter City 
funding which related to open data and collective efforts to advance change .  These key 
recommendations poise Fresno to initiate greater collaboration with businesses, dial 
into urban analytics, and foster more robust partnerships with universities and citizens 
as a Smart City. 
The City of Fresno also has a history of leading the way on cutting edge technologies, 
and transferring knowledge gained to others. In 2009, Fresno Yosemite International 
Airport (FAT) was selected by the Federal Aviation Administration as one of 10 airports 
nationwide , one of only two located on the west coast, for funding to develop a 
Sustainability Management Plan  which was released in 
2012. The resulting plan has laid the groundwork for a 
commitment to a green city which protects the 
environment and promotes smart growth. A 2-megawatt 
solar power generation system installed at FAT in 2008 
was the nation’s first  of its size at an airport, and has 
resulted in generating 30,002,118 kWh of solar energy to 
date. This is the equivalent of the CO 2 absorbed by 
118,403 trees and the CO 2 emitted from driving 
17,365,037 miles. Based on best practices and lessons learned t he City of Fresno 
Airports Department has provided technical assistance to 
support other region’s green efforts. This trac k record of 
leadership in green energy and transportation technology 
demonstrates an environment in Fresno which welcomes and 
encourages innovation of the scope and scale required to 
achieve a Smart City vision.  
The environment in terms of existing transportation 
infrastructure, experienced engineering staff, information 
technology staff and technical staff is also uniquely poised to 
embrace the Smart City Challenge. The resources which 
In 2013, the City of 
Fresno was one of 
31 cities selected 
worldwide to 
receive the IBM 
Smarter Cities 
Challenge grant.  
A 2-megawatt solar 
power generation 
system installed at 
FAT in 2008 was the 
nation’s first of its 
size at an airport.  
"	fresno environment conducive demonstrating proposed strategy fresno environment conducive demonstrating proposed strategy track record embracing technology advance priority fresno one selected worldwide receive ibm smarter challenge grant fresno recognized er due unique asset also make prime candidate challenge asset include diversity affordability proximity larger well developed relationship create synergy across industry past smarter fresno demonstrated ability engage key stakeholder collectively envision instrumented interconnected intelligent utilizes data inform decision making enhance economic health overall wellbeing resident key recommendation emerged smarter funding related open data collective effort advance change key recommendation poise fresno initiate greater collaboration business dial urban analytics foster robust partnership university citizen fresno also history leading way cutting edge technology transferring knowledge gained others fresno yosemite international airport fat selected federal aviation administration one airport nationwide one two located west coast funding develop sustainability management plan released resulting plan laid groundwork commitment green protects environment promotes growth megawatt solar power generation system installed fat nation first size airport resulted generating kwh solar energy date equivalent co absorbed tree co emitted driving mile based best practice lesson learned fresno airport department provided technical assistance support region green effort trac k record leadership green energy transportation technology demonstrates environment fresno welcome encourages innovation scope scale required achieve vision environment term existing transportation infrastructure experienced engineering staff information technology staff technical staff also uniquely poised embrace challenge resource fresno one selected worldwide receive ibm smarter challenge grant megawatt solar power generation system installed fat nation first size airport	15
9	CA Fresno	"City of Fresno 
8 create an environment conducive to demonstration will be discussed at length in 
questions 7,8,12 and 13 of this application. 
Continuity of committed leadership and capacity to carry out the demonstration 
throughout the period of performance 
Leadership in the City of Fresno is invested in a long-term vision for city-wide 
improvements, particularly with regards to transportation. The City of Fresno General 
Plan 2035  casts a vision for smart growth, multimodal travel enhanced by technological 
innovation, and a commitment to the use of evaluation metrics and performance 
standards to prioritize transportation projects and focus on continuous improvement. 
The City has also committed to a county-wide plan for Intelligent Transportation 
Systems and a Fiber Optics Communication Network, which align to m any of the 
proposed elements in this grant. Existing momentum toward c omprehensive 
connectivity which reflects a balanced multimodal transportation system makes the City 
of Fresno an ideal candidate for a connected Smart City.  
Directors overseeing the Departments of Public Works , Development, Transportation 
and Information Services are highly experienced and have united in support of this 
proposal. Becoming a Smart City would accelerate existing plans by providing otherwise 
unmet funding . The city has successfully executed large scale capital and technical 
projects and has the internal leadership capacity and organizational structure to carry 
out the demonstration throughout the period of performance with excellence. 
A commitment to integrating with the sharing economy 
Fresno has a demonstrated commitment to integrating into the sharing economy. This is 
evidenced by partnerships with the region’s largest university, and  business activity in 
Downtown Fresno.  In 2014, California State 
University Fresno (CSUF) and the City of Fresno 
partnered on a request to receive technical 
assistance from the Environmental Protection 
Agency (EPA) to explore bike share programs. The 
findings of the report, released in November 2015, 
have helped to inform several of the vision 
elements in this proposal.  CSUF is currently 
exploring shared digital bike locking systems and 
remains open to other opportunities.  
Growth of businesses in Downtown Fresno 
demonstrates the growth of the sharing economy in 
the local private sector. In May 2015 Uber opened 
a downtown office , followed a few months later by 
the launch of Uber Español in November 2015. 
Many local companies like BitWise and Hashtag 
also utilize sharing economy principles by working 
out of shared spaces and utilizing shared 
equipment to bring their products to market.  
In 2015, the EPA provided technical 
assistance for Bikeshare planning in 
Fresno which produced the report 
pictured above. 
"	fresno create environment conducive demonstration discussed length question application continuity committed leadership capacity carry demonstration throughout period performance leadership fresno invested long term vision wide improvement particularly regard transportation fresno general plan cast vision growth multimodal travel enhanced technological innovation commitment use evaluation metric performance standard prioritize transportation project focus continuous improvement also committed county wide plan intelligent transportation system fiber optic communication network align proposed element grant existing momentum toward c omprehensive connectivity reflects balanced multimodal transportation system make fresno ideal candidate connected director overseeing department public work development transportation information service highly experienced united support proposal becoming would accelerate existing plan providing otherwise unmet funding successfully executed large scale capital technical project internal leadership capacity organizational structure carry demonstration throughout period performance excellence commitment integrating sharing economy fresno demonstrated commitment integrating sharing economy evidenced partnership region largest university business activity downtown fresno california university fresno csuf fresno partnered request receive technical assistance environmental protection agency epa explore bike share program finding report released november helped inform several vision element proposal csuf currently exploring shared digital bike locking system remains open opportunity growth business downtown fresno demonstrates growth sharing economy local private sector may uber opened downtown office followed month later launch uber español november many local company like bitwise hashtag also utilize sharing economy principle working shared space utilizing shared equipment bring product market epa provided technical assistance bikeshare planning fresno produced report pictured	15
